greenvines		2	0.00169
train?		1	0.000845
drehy		1	0.000845
picking		1	0.000845
around		3	0.00254
debris		1	0.000845
joining		1	0.000845
beside		2	0.00169
chasm		2	0.00169
if		12	0.0101
lads		2	0.00169
told		2	0.00169
bringing		1	0.000845
lot		3	0.00254
broke		1	0.000845
shells		1	0.000845
somehow.		1	0.000845
nodded.		1	0.000845
people		11	0.0093
well?		1	0.000845
asked.		2	0.00169
involves		1	0.000845
cutting		1	0.000845
apart		2	0.00169
looking		3	0.00254
scraped		1	0.000845
while		2	0.00169
scrape		1	0.000845
gone		1	0.000845
having		1	0.000845
healed		1	0.000845
tears		1	0.000845
skin.		1	0.000845
grunted		1	0.000845
glancing		1	0.000845
two		2	0.00169
broken		1	0.000845
rations.		1	0.000845
ought		1	0.000845
charge		1	0.000845
recruits.		2	0.00169
wont		2	0.00169
fight.		1	0.000845
sparred		1	0.000845
maybe		3	0.00254
me.		1	0.000845
im		2	0.00169
screw		1	0.000845
up.		1	0.000845
youll		3	0.00254
fine		2	0.00169
job		2	0.00169
saying		1	0.000845
otherwise.		1	0.000845
we		4	0.00338
resources		1	0.000845
no		7	0.00592
scrimping		1	0.000845
every		2	0.00169
last		2	0.00169
sphere.		1	0.000845
train		1	0.000845
those		2	0.00169
right.		1	0.000845
sighed		1	0.000845
more.		1	0.000845
did.		3	0.00254
aye		3	0.00254
bring		1	0.000845
group		4	0.00338
twenty		1	0.000845
give		1	0.000845
proper		1	0.000845
challenge.		1	0.000845
another		2	0.00169
person		1	0.000845
myself		1	0.000845
spar		1	0.000845
with.		1	0.000845
again		2	0.00169
nodding		1	0.000845
considered		1	0.000845
that.		1	0.000845
there		7	0.00592
ten		1	0.000845
orders		2	0.00169
knights		3	0.00254
right?		1	0.000845
much		5	0.00423
others?		1	0.000845
do.		2	0.00169
known		1	0.000845
had.		1	0.000845
grimace.		1	0.000845
always		2	0.00169
along		2	0.00169
despite		1	0.000845
official		1	0.000845
stories		1	0.000845
say.		2	0.00169
knows		1	0.000845
away.		1	0.000845
knew		2	0.00169
tell		1	0.000845
us		2	0.00169
arent		1	0.000845
any		2	0.00169
longer.		1	0.000845
dour		1	0.000845
mood		1	0.000845
drove		1	0.000845
further.		1	0.000845
looked		7	0.00592
spoke		1	0.000845
past		1	0.000845
infrequently		1	0.000845
whoever		1	0.000845
dead		2	0.00169
done.		1	0.000845
heard		3	0.00254
somebody		1	0.000845
wanted		4	0.00338
refound		1	0.000845
radiant?		2	0.00169
softly		4	0.00338
teft.		1	0.000845
sharply.		1	0.000845
speaking		2	0.00169
carefully.		1	0.000845
